order_item_id,order_id,product_id,quantity,unit_price
OI001,O001,P001,1,2200.00
OI002,O001,P006,1,60.00
OI003,O002,P002,1,999.00
OI004,O002,P006,1,60.00
OI005,O003,P005,1,120.00
OI006,O004,P013,1,249.00
OI007,O004,P006,1,60.00
OI008,O004,P009,1,100.00
OI009,O005,P003,1,899.00
OI010,O005,P007,1,80.00
OI011,O005,P006,1,60.00
OI012,O006,P002,1,999.00
OI013,O007,P004,1,450.00
OI014,O007,P006,1,60.00
OI015,O008,P010,1,350.00
OI016,O009,P005,1,120.00
OI017,O009,P006,1,60.00
OI018,O010,P002,1,999.00
OI019,O010,P007,1,80.00
OI020,O010,P006,1,50.00
OI021,O011,P001,1,2200.00
OI022,O011,P006,2,60.00
OI023,O011,P007,1,80.00
OI024,O011,P009,1,100.00
OI025,O012,P008,1,250.00
OI026,O013,P004,1,450.00
OI027,O014,P012,1,130.00
OI028,O014,P006,1,60.00
OI029,O015,P008,1,250.00
OI030,O015,P006,1,60.00
OI031,O016,P011,1,600.00
OI032,O017,P012,1,130.00
OI033,O017,P006,1,60.00
OI034,O018,P002,1,999.00
OI035,O018,P006,1,60.00
OI036,O018,P007,3,80.00
OI037,O019,P002,1,999.00
OI038,O020,P001,1,2200.00
OI039,O020,P006,1,60.00
OI040,O020,P005,1,120.00
OI041,O021,P004,1,450.00
OI042,O022,P008,1,250.00
OI043,O023,P011,1,600.00
OI044,O023,P015,4,45.00
OI045,O024,P005,1,120.00
OI046,O024,P006,1,60.00
OI047,O024,P015,1,45.00
OI048,O025,P011,1,600.00
OI049,O026,P013,1,249.00
OI050,O027,P002,1,999.00
OI051,O027,P005,1,120.00
OI052,O028,P007,1,80.00
OI053,O028,P009,1,100.00
OI054,O028,P006,1,30.00
OI055,O029,P001,1,2200.00
OI056,O030,P013,1,249.00
OI057,O031,P011,1,600.00
OI058,O031,P006,1,60.00
OI059,O031,P005,1,40.00
OI060,O032,P012,1,130.00
OI061,O033,P003,1,899.00
OI062,O034,P010,1,350.00
OI063,O035,P013,1,249.00
