order_id,customer_id,order_date,status,total_amount
O001,C001,2024-02-01,COMPLETED,2260.00
O002,C002,2024-02-05,COMPLETED,1059.00
O003,C003,2024-02-12,COMPLETED,120.00
O004,C001,2024-02-20,COMPLETED,349.00
O005,C004,2024-03-10,COMPLETED,1149.00
O006,C005,2024-03-15,CANCELLED,999.00
O007,C006,2024-03-22,COMPLETED,510.00
O008,C007,2024-04-01,COMPLETED,350.00
O009,C002,2024-04-08,COMPLETED,139.00
O010,C008,2024-04-15,COMPLETED,1129.00
O011,C009,2024-05-02,COMPLETED,2700.00
O012,C010,2024-05-10,COMPLETED,250.00
O013,C003,2024-05-18,CANCELLED,450.00
O014,C005,2024-05-25,COMPLETED,129.00
O015,C001,2024-06-03,COMPLETED,310.00
O016,C011,2024-06-15,COMPLETED,600.00
O017,C006,2024-06-22,COMPLETED,160.00
O018,C007,2024-07-01,COMPLETED,1299.00
O019,C012,2024-07-08,COMPLETED,999.00
O020,C002,2024-07-20,COMPLETED,1480.00
O021,C008,2024-08-01,COMPLETED,430.00
O022,C009,2024-08-12,COMPLETED,250.00
O023,C013,2024-08-20,COMPLETED,780.00
O024,C014,2024-09-01,COMPLETED,225.00
O025,C001,2024-09-15,COMPLETED,600.00
O026,C004,2024-09-20,COMPLETED,249.00
O027,C005,2024-10-05,COMPLETED,1099.00
O028,C011,2024-10-15,COMPLETED,210.00
O029,C012,2024-10-20,CANCELLED,2200.00
O030,C002,2024-11-01,COMPLETED,245.00
O031,C006,2024-11-10,COMPLETED,700.00
O032,C007,2024-11-18,COMPLETED,130.00
O033,C014,2024-11-25,COMPLETED,699.00
O034,C015,2024-12-01,COMPLETED,350.00
O035,C003,2024-12-10,COMPLETED,249.00
