payment_id,order_id,payment_date,payment_method,amount,payment_status
PAY001,O001,2024-02-01,CREDIT_CARD,2260.00,SUCCESS
PAY002,O002,2024-02-05,UPI,1059.00,SUCCESS
PAY003,O003,2024-02-12,CREDIT_CARD,120.00,SUCCESS
PAY004,O004,2024-02-20,CREDIT_CARD,349.00,SUCCESS
PAY005,O005,2024-03-10,BANK_TRANSFER,1149.00,SUCCESS
PAY006,O006,2024-03-15,CREDIT_CARD,999.00,REFUNDED
PAY007,O007,2024-03-22,CREDIT_CARD,510.00,SUCCESS
PAY008,O008,2024-04-01,PAYPAL,350.00,SUCCESS
PAY009,O009,2024-04-08,UPI,139.00,SUCCESS
PAY010,O010,2024-04-15,UPI,500.00,SUCCESS
PAY011,O010,2024-04-15,UPI,629.00,SUCCESS
PAY012,O011,2024-05-02,CREDIT_CARD,2700.00,SUCCESS
PAY013,O012,2024-05-10,CREDIT_CARD,250.00,SUCCESS
PAY014,O013,2024-05-18,CREDIT_CARD,450.00,REFUNDED
PAY015,O014,2024-05-25,UPI,129.00,SUCCESS
PAY016,O015,2024-06-03,CREDIT_CARD,310.00,SUCCESS
PAY017,O016,2024-06-15,BANK_TRANSFER,600.00,SUCCESS
PAY018,O017,2024-06-22,UPI,160.00,SUCCESS
PAY019,O018,2024-07-01,CREDIT_CARD,1299.00,SUCCESS
PAY020,O019,2024-07-08,CREDIT_CARD,999.00,SUCCESS
PAY021,O020,2024-07-20,BANK_TRANSFER,1000.00,SUCCESS
PAY022,O020,2024-07-21,BANK_TRANSFER,480.00,SUCCESS
PAY023,O021,2024-08-01,CREDIT_CARD,430.00,SUCCESS
PAY024,O022,2024-08-12,PAYPAL,250.00,SUCCESS
PAY025,O023,2024-08-20,CREDIT_CARD,780.00,SUCCESS
PAY026,O024,2024-09-01,UPI,225.00,SUCCESS
PAY027,O025,2024-09-15,BANK_TRANSFER,600.00,SUCCESS
PAY028,O026,2024-09-20,CREDIT_CARD,249.00,SUCCESS
PAY029,O027,2024-10-05,CREDIT_CARD,1099.00,SUCCESS
PAY030,O028,2024-10-15,UPI,210.00,SUCCESS
PAY031,O029,2024-10-20,CREDIT_CARD,2200.00,REFUNDED
PAY032,O030,2024-11-01,CREDIT_CARD,245.00,SUCCESS
PAY033,O031,2024-11-10,BANK_TRANSFER,700.00,SUCCESS
PAY034,O032,2024-11-18,UPI,130.00,SUCCESS
PAY035,O033,2024-11-25,CREDIT_CARD,699.00,SUCCESS
PAY036,O034,2024-12-01,PAYPAL,350.00,SUCCESS
PAY037,O035,2024-12-10,CREDIT_CARD,249.00,SUCCESS
